#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 2 2
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 3 1
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 4 2
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 1 2
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 1 -1
