#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 2
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 4 3
InsideAcceptance_genPt_0p0_10000p0 recoPt_0p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 4
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 -1
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 3
OutsideAcceptance recoPt_0p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
