#proc cat nGausRV nGausWV
OutsideAcceptance hgg_PTH_0p0_30p0_cat0_18 1 1
OutsideAcceptance hgg_PTH_0p0_30p0_cat1_18 2 1
OutsideAcceptance hgg_PTH_0p0_30p0_cat2_18 1 1
OutsideAcceptance hgg_PTH_120p0_200p0_cat0_18 1 -1
OutsideAcceptance hgg_PTH_120p0_200p0_cat1_18 1 -1
OutsideAcceptance hgg_PTH_120p0_200p0_cat2_18 1 -1
OutsideAcceptance hgg_PTH_200p0_350p0_cat0_18 2 -1
OutsideAcceptance hgg_PTH_200p0_350p0_cat1_18 1 -1
OutsideAcceptance hgg_PTH_200p0_350p0_cat2_18 1 -1
OutsideAcceptance hgg_PTH_30p0_60p0_cat0_18 2 3
OutsideAcceptance hgg_PTH_30p0_60p0_cat1_18 2 3
OutsideAcceptance hgg_PTH_30p0_60p0_cat2_18 3 4
OutsideAcceptance hgg_PTH_350p0_10000p0_cat0_18 -1 -1
OutsideAcceptance hgg_PTH_350p0_10000p0_cat1_18 -1 -1
OutsideAcceptance hgg_PTH_350p0_10000p0_cat2_18 -1 -1
OutsideAcceptance hgg_PTH_60p0_120p0_cat0_18 3 1
OutsideAcceptance hgg_PTH_60p0_120p0_cat1_18 2 1
OutsideAcceptance hgg_PTH_60p0_120p0_cat2_18 2 1
OutsideAcceptance hgg_PTH_m1000p0_0p0_cat0_18 1 1
OutsideAcceptance hgg_PTH_m1000p0_0p0_cat1_18 2 1
OutsideAcceptance hgg_PTH_m1000p0_0p0_cat2_18 1 1
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat0_18 1 -1
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat1_18 1 -1
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat2_18 1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat0_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat1_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat2_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat0_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat1_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat2_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat0_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat1_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat2_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat0_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat1_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat2_18 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_m1000p0_0p0_cat0_18 2 1
smH_PTH_0p0_30p0 hgg_PTH_m1000p0_0p0_cat1_18 2 1
smH_PTH_0p0_30p0 hgg_PTH_m1000p0_0p0_cat2_18 1 1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat0_18 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat1_18 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat2_18 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_120p0_200p0_cat0_18 3 1
smH_PTH_120p0_200p0 hgg_PTH_120p0_200p0_cat1_18 2 1
