#proc cat nGausRV nGausWV
smH_PTJ1_150p0_10000p0 hgg_PTJ1_150p0_10000p0_cat1_18 2 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_150p0_10000p0_cat2_18 2 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_150p0_10000p0_cat0_18 2 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_30p0_40p0_cat1_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_30p0_40p0_cat2_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_30p0_40p0_cat0_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_40p0_65p0_cat1_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_40p0_65p0_cat2_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_40p0_65p0_cat0_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_65p0_90p0_cat1_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_65p0_90p0_cat2_18 -1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_65p0_90p0_cat0_18 1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_90p0_150p0_cat1_18 1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_90p0_150p0_cat2_18 1 -1
smH_PTJ1_150p0_10000p0 hgg_PTJ1_90p0_150p0_cat0_18 1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_150p0_10000p0_cat1_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_150p0_10000p0_cat2_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_150p0_10000p0_cat0_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_30p0_40p0_cat1_18 2 2
smH_PTJ1_30p0_40p0 hgg_PTJ1_30p0_40p0_cat2_18 2 2
smH_PTJ1_30p0_40p0 hgg_PTJ1_30p0_40p0_cat0_18 3 2
smH_PTJ1_30p0_40p0 hgg_PTJ1_40p0_65p0_cat1_18 2 4
smH_PTJ1_30p0_40p0 hgg_PTJ1_40p0_65p0_cat2_18 4 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_40p0_65p0_cat0_18 1 2
smH_PTJ1_30p0_40p0 hgg_PTJ1_65p0_90p0_cat1_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_65p0_90p0_cat2_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_65p0_90p0_cat0_18 -1 -1
smH_PTJ1_30p0_40p0 hgg_PTJ1_90p0_150p0_cat1_18 -1 -1
